id,name,lat,long,dock_count,city,installation_date
55,Temporary Transbay Terminal (Howard at Beale),37.789756,-122.39464299999999,23,San Francisco,8/20/2013
56,Beale at Market,37.792251,-122.39708600000002,19,San Francisco,8/20/2013
57,5th at Howard,37.781752000000004,-122.40512700000001,15,San Francisco,8/21/2013
58,San Francisco City Hall,37.77865,-122.41823500000001,19,San Francisco,8/21/2013
59,Golden Gate at Polk,37.781332,-122.418603,23,San Francisco,8/21/2013
60,Embarcadero at Sansome,37.80477,-122.40323400000001,15,San Francisco,8/21/2013
61,2nd at Townsend,37.780526,-122.39028799999998,27,San Francisco,8/22/2013
62,2nd at Folsom,37.785299,-122.39623600000002,19,San Francisco,8/22/2013
63,Howard at 2nd,37.786978000000005,-122.39810800000001,19,San Francisco,8/22/2013
64,2nd at South Park,37.782259,-122.392738,15,San Francisco,8/22/2013
