id,duration,start_date,start_station_id,end_date,end_station_id,bike_id,subscription_type,zip_code
4377,289,2/26/14 12:27,55,2/26/14 12:32,56,471,Subscriber,94965
4378,289,2/26/13 12:27,55,2/26/13 12:32,56,471,Subscriber,91407
4959,292,2/26/14 19:18,64,2/26/14 19:23,61,361,Customer,94109
4828,293,2/26/14 17:41,58,2/26/14 17:46,59,160,Subscriber,94107
4450,298,2/26/14 13:01,59,2/26/14 13:06,57,598,Subscriber,94109
4558,298,2/26/14 13:57,55,2/26/14 14:02,60,275,Subscriber,94109
4657,298,2/26/14 15:30,57,2/26/14 15:35,57,631,Subscriber,94123
4796,305,2/26/14 17:22,63,2/26/14 17:27,58,332,Subscriber,94110
4331,307,1/31/14 12:12,59,1/31/14 12:17,62,144,Subscriber,94025
4280,309,1/31/14 11:53,58,1/31/14 11:58,64,636,Subscriber,94117
4290,309,1/31/14 11:58,55,1/31/14 12:03,60,496,Customer,94107
4876,309,1/31/14 18:09,61,1/31/14 18:14,57,565,Customer,95126
4766,315,1/31/14 17:05,57,1/31/14 17:10,57,227,Subscriber,94402
4871,316,8/29/13 18:06,57,8/29/13 18:11,64,348,Customer,94107
5078,318,8/29/13 21:53,63,8/29/13 21:59,57,611,Subscriber,94115
4744,319,8/29/13 16:52,57,8/29/13 16:57,59,379,Customer,95032
4376,320,8/29/13 12:27,56,8/29/13 12:32,56,534,Subscriber,94115
4392,323,1/21/14 12:34,55,1/21/14 12:39,59,428,Subscriber,94123
4602,323,1/21/14 14:34,61,1/21/14 14:39,62,326,Customer,94111
5100,323,11/27/13 22:50,63,11/27/13 22:56,59,317,Subscriber,94105
4448,324,11/27/13 13:01,59,11/27/13 13:06,56,621,Subscriber,94121
4722,327,11/27/13 16:32,56,11/27/13 16:37,64,81,Subscriber,95112
4850,327,11/27/13 17:53,60,11/27/13 17:59,59,95,Subscriber,94107
4615,332,11/27/13 14:55,58,11/27/13 15:01,63,606,Subscriber,94109
4582,335,11/27/13 14:14,62,11/27/13 14:20,62,342,Subscriber,94123
4640,335,11/27/13 15:19,64,11/27/13 15:24,59,438,Subscriber,94110
4805,336,11/27/13 17:26,56,11/27/13 17:32,57,26,Subscriber,95066
4715,337,1/21/14 16:23,58,1/21/14 16:29,64,599,Customer,94109
4941,337,1/21/14 19:05,59,1/21/14 19:11,55,327,Subscriber,94103
4454,340,1/21/14 13:05,55,1/21/14 13:10,60,590,Subscriber,94107
4647,340,8/30/13 15:26,59,8/30/13 15:32,59,432,Subscriber,94102
4750,342,8/30/13 16:57,64,8/30/13 17:03,57,549,Subscriber,94109
4393,343,8/30/13 12:34,56,8/30/13 12:40,55,319,Subscriber,94103
4822,343,8/30/13 17:37,59,8/30/13 17:43,61,196,Subscriber,95138
4300,346,8/30/13 12:03,61,8/30/13 12:09,55,603,Customer,94105
4968,346,8/30/13 19:35,55,8/30/13 19:41,57,512,Subscriber,94105
4890,347,8/30/13 18:13,58,8/30/13 18:19,56,326,Subscriber,94123
5075,348,8/30/13 21:47,59,8/30/13 21:52,63,598,Subscriber,94115
4570,351,1/17/14 14:06,55,1/17/14 14:12,64,275,Subscriber,94109
4278,353,1/17/14 11:52,55,1/17/14 11:58,57,596,Subscriber,94123
4399,355,1/17/14 12:39,59,1/17/14 12:45,58,74,Subscriber,94041
4660,355,1/17/14 15:32,61,1/17/14 15:38,62,408,Customer,94102
4745,360,1/17/14 16:52,55,1/17/14 16:58,55,271,Subscriber,94133
4955,360,1/17/14 19:15,59,1/17/14 19:21,62,498,Subscriber,94608
4785,361,1/17/14 17:13,61,1/17/14 17:19,59,562,Subscriber,94401
4786,362,1/17/14 17:14,63,1/17/14 17:20,59,351,Subscriber,94597
4447,363,1/17/14 13:00,64,1/17/14 13:06,59,341,Subscriber,94112
5032,363,2/27/14 20:33,62,2/27/14 20:39,61,603,Customer,95123
4312,369,2/27/14 12:06,55,2/27/14 12:12,60,378,Subscriber,94117
4700,369,2/27/14 16:12,58,2/27/14 16:18,63,510,Customer,23160
4875,370,2/27/14 18:08,60,2/27/14 18:14,63,421,Subscriber,94110
4659,371,2/27/14 15:32,61,2/27/14 15:38,57,538,Customer,94102
4998,374,2/27/14 19:57,57,2/27/14 20:04,59,276,Subscriber,94105
4496,375,2/27/14 13:19,64,2/27/14 13:25,59,413,Subscriber,94107
4716,375,2/27/14 16:24,59,2/27/14 16:30,61,382,Customer,95118
4527,376,2/27/14 13:39,60,2/27/14 13:45,59,522,Subscriber,94610
4612,376,2/27/14 14:46,63,2/27/14 14:53,59,188,Subscriber,95112
4204,378,2/27/14 11:06,60,2/27/14 11:13,60,28,Subscriber,95136
4731,378,2/27/14 16:36,56,2/27/14 16:43,55,324,Customer,94118
4883,378,8/31/13 18:12,58,8/31/13 18:18,63,332,Subscriber,94114
4517,379,8/31/13 13:34,58,8/31/13 13:41,60,661,Subscriber,95112
4429,380,8/31/13 12:53,60,8/31/13 13:00,59,491,Subscriber,94121
4699,380,8/31/13 16:12,62,8/31/13 16:18,63,443,Customer,17190
4434,384,8/31/13 12:55,60,8/31/13 13:01,59,555,Subscriber,94117
4408,385,8/31/13 12:41,57,8/31/13 12:48,61,538,Customer,37206
4961,387,8/31/13 19:21,55,8/31/13 19:28,57,471,Subscriber,94103
5099,387,8/31/13 22:35,63,8/31/13 22:41,62,635,Subscriber,95126
4347,389,8/31/13 12:15,60,8/31/13 12:21,63,146,Subscriber,95112
5095,390,8/31/13 22:15,55,8/31/13 22:21,64,501,Subscriber,94115
5102,392,8/31/13 22:53,59,8/31/13 23:00,63,348,Customer,37206
4414,393,12/1/13 12:44,59,12/1/13 12:50,60,259,Customer,91127
5050,396,12/1/13 21:01,59,12/1/13 21:07,63,402,Subscriber,94103
4334,398,12/1/13 12:12,55,12/1/13 12:19,60,428,Customer,94709
4385,398,12/1/13 12:30,63,12/1/13 12:37,59,397,Subscriber,94109
4981,399,12/1/13 19:41,56,12/1/13 19:47,63,632,Subscriber,94110
5062,402,12/1/13 21:27,57,12/1/13 21:34,63,616,Subscriber,94105
4970,404,12/1/13 19:36,57,12/1/13 19:43,61,320,Subscriber,94109
4458,405,12/1/13 13:05,61,12/1/13 13:12,61,458,Subscriber,94102
4879,405,12/1/13 18:10,57,12/1/13 18:17,60,394,Subscriber,94102
4999,405,12/1/13 19:58,60,12/1/13 20:04,59,282,Subscriber,94105
4751,406,12/1/13 16:57,58,12/1/13 17:04,59,462,Subscriber,94704
4996,410,12/1/13 19:57,55,12/1/13 20:04,55,441,Customer,85400
4616,412,12/1/13 14:56,63,12/1/13 15:02,61,101,Customer,95020
4741,412,12/1/13 16:45,62,12/1/13 16:52,63,639,Subscriber,95112
4910,412,12/1/13 18:37,57,12/1/13 18:43,64,20,Customer,94303
4655,413,9/1/13 15:29,63,9/1/13 15:36,56,474,Customer,94965
4542,416,9/1/13 13:49,55,9/1/13 13:56,62,399,Customer,94111
4348,418,9/1/13 12:14,55,9/1/13 12:21,64,628,Subscriber,94965
4435,418,9/1/13 12:55,60,9/1/13 13:02,56,548,Customer,2142
4465,419,9/1/13 13:11,64,9/1/13 13:18,57,498,Subscriber,94117
4810,419,9/1/13 17:30,58,9/1/13 17:37,63,546,Subscriber,94122
4641,420,12/25/13 15:19,59,12/25/13 15:26,59,522,Subscriber,94102
4571,421,12/25/13 14:07,62,12/25/13 14:14,55,621,Customer,94111
5077,422,12/25/13 21:47,55,12/25/13 21:54,62,619,Customer,17190
4309,423,12/25/13 12:04,64,12/25/13 12:11,61,340,Subscriber,94127
4953,423,12/25/13 19:14,61,12/25/13 19:21,58,606,Subscriber,94110
5067,423,12/25/13 21:38,59,12/25/13 21:45,59,535,Subscriber,94133
4830,424,12/25/13 17:42,59,12/25/13 17:49,60,334,Customer,94133
